id;creation_date;student_id;class_group_id;on_time
1;2020-03-02T06:00:00;1;4;true
2;2020-03-03T06:00:00;1;4;true
3;2020-03-04T06:00:00;1;4;true
4;2020-03-05T06:00:00;1;4;true
5;2020-03-06T06:00:00;1;4;false
6;2020-03-02T06:00:01;1;9;true
7;2020-03-03T06:00:01;1;9;true
8;2020-03-04T06:00:01;1;9;true
9;2020-03-05T06:00:01;1;9;false
10;2020-03-06T06:00:01;1;9;true
11;2020-03-02T06:00:02;1;5;true
12;2020-03-03T06:00:02;1;5;false
13;2020-03-04T06:00:02;1;5;false
14;2020-03-05T06:00:02;1;5;true
15;2020-03-06T06:00:02;1;5;true
16;2020-03-02T06:00:03;1;1;false
17;2020-03-03T06:00:03;1;1;false
18;2020-03-04T06:00:03;1;1;false
19;2020-03-05T06:00:03;1;1;true
20;2020-03-06T06:00:03;1;1;false
21;2020-03-02T06:00:04;1;6;false
22;2020-03-03T06:00:04;1;6;false
23;2020-03-04T06:00:04;1;6;false
24;2020-03-05T06:00:04;1;6;true
25;2020-03-06T06:00:04;1;6;true
26;2020-03-02T06:00:05;2;9;true
27;2020-03-03T06:00:05;2;9;false
28;2020-03-04T06:00:05;2;9;true
29;2020-03-05T06:00:05;2;9;true
30;2020-03-06T06:00:05;2;9;false
31;2020-03-02T06:00:06;2;3;true
32;2020-03-03T06:00:06;2;3;true
33;2020-03-04T06:00:06;2;3;true
34;2020-03-05T06:00:06;2;3;false
35;2020-03-06T06:00:06;2;3;false
36;2020-03-02T06:00:07;2;4;true
37;2020-03-03T06:00:07;2;4;false
38;2020-03-04T06:00:07;2;4;true
39;2020-03-05T06:00:07;2;4;true
40;2020-03-06T06:00:07;2;4;false
41;2020-03-02T06:00:08;2;7;false
42;2020-03-03T06:00:08;2;7;true
43;2020-03-04T06:00:08;2;7;false
44;2020-03-05T06:00:08;2;7;false
45;2020-03-06T06:00:08;2;7;false
46;2020-03-02T06:00:09;3;3;false
47;2020-03-03T06:00:09;3;3;true
48;2020-03-04T06:00:09;3;3;true
49;2020-03-05T06:00:09;3;3;false
50;2020-03-06T06:00:09;3;3;true
51;2020-03-02T06:00:10;3;10;false
52;2020-03-03T06:00:10;3;10;true
53;2020-03-04T06:00:10;3;10;false
54;2020-03-05T06:00:10;3;10;false
55;2020-03-06T06:00:10;3;10;true
56;2020-03-02T06:00:11;4;1;true
57;2020-03-03T06:00:11;4;1;true
58;2020-03-04T06:00:11;4;1;false
59;2020-03-05T06:00:11;4;1;false
60;2020-03-06T06:00:11;4;1;true
61;2020-03-02T06:00:12;4;2;true
62;2020-03-03T06:00:12;4;2;false
63;2020-03-04T06:00:12;4;2;true
64;2020-03-05T06:00:12;4;2;true
65;2020-03-06T06:00:12;4;2;false
66;2020-03-02T06:00:13;4;3;true
67;2020-03-03T06:00:13;4;3;false
68;2020-03-04T06:00:13;4;3;false
69;2020-03-05T06:00:13;4;3;true
70;2020-03-06T06:00:13;4;3;true
71;2020-03-02T06:00:14;4;4;false
72;2020-03-03T06:00:14;4;4;false
73;2020-03-04T06:00:14;4;4;true
74;2020-03-05T06:00:14;4;4;true
75;2020-03-06T06:00:14;4;4;false
76;2020-03-02T06:00:15;4;5;false
77;2020-03-03T06:00:15;4;5;false
78;2020-03-04T06:00:15;4;5;true
79;2020-03-05T06:00:15;4;5;true
80;2020-03-06T06:00:15;4;5;false
81;2020-03-02T06:00:16;4;6;false
82;2020-03-03T06:00:16;4;6;true
83;2020-03-04T06:00:16;4;6;true
84;2020-03-05T06:00:16;4;6;true
85;2020-03-06T06:00:16;4;6;true
86;2020-03-02T06:00:17;4;7;false
87;2020-03-03T06:00:17;4;7;true
88;2020-03-04T06:00:17;4;7;true
89;2020-03-05T06:00:17;4;7;false
90;2020-03-06T06:00:17;4;7;false
91;2020-03-02T06:00:18;4;8;false
92;2020-03-03T06:00:18;4;8;true
93;2020-03-04T06:00:18;4;8;false
94;2020-03-05T06:00:18;4;8;true
95;2020-03-06T06:00:18;4;8;false
96;2020-03-02T06:00:19;4;9;true
97;2020-03-03T06:00:19;4;9;false
98;2020-03-04T06:00:19;4;9;true
99;2020-03-05T06:00:19;4;9;true
100;2020-03-06T06:00:19;4;9;false
101;2020-03-02T06:00:20;4;10;false
102;2020-03-03T06:00:20;4;10;false
103;2020-03-04T06:00:20;4;10;false
104;2020-03-05T06:00:20;4;10;false
105;2020-03-06T06:00:20;4;10;false
106;2020-03-02T06:00:21;5;2;false
107;2020-03-03T06:00:21;5;2;true
108;2020-03-04T06:00:21;5;2;false
109;2020-03-05T06:00:21;5;2;true
110;2020-03-06T06:00:21;5;2;true
111;2020-03-02T06:00:22;5;10;true
112;2020-03-03T06:00:22;5;10;false
113;2020-03-04T06:00:22;5;10;true
114;2020-03-05T06:00:22;5;10;true
115;2020-03-06T06:00:22;5;10;false
116;2020-03-02T06:00:23;5;4;false
117;2020-03-03T06:00:23;5;4;false
118;2020-03-04T06:00:23;5;4;true
119;2020-03-05T06:00:23;5;4;false
120;2020-03-06T06:00:23;5;4;true
121;2020-03-02T06:00:24;5;1;true
122;2020-03-03T06:00:24;5;1;true
123;2020-03-04T06:00:24;5;1;false
124;2020-03-05T06:00:24;5;1;false
125;2020-03-06T06:00:24;5;1;true
126;2020-03-02T06:00:25;5;8;false
127;2020-03-03T06:00:25;5;8;false
128;2020-03-04T06:00:25;5;8;false
129;2020-03-05T06:00:25;5;8;false
130;2020-03-06T06:00:25;5;8;false
131;2020-03-02T06:00:26;5;3;false
132;2020-03-03T06:00:26;5;3;false
133;2020-03-04T06:00:26;5;3;true
134;2020-03-05T06:00:26;5;3;false
135;2020-03-06T06:00:26;5;3;false
136;2020-03-02T06:00:27;5;7;false
137;2020-03-03T06:00:27;5;7;true
138;2020-03-04T06:00:27;5;7;true
139;2020-03-05T06:00:27;5;7;true
140;2020-03-06T06:00:27;5;7;true
141;2020-03-02T06:00:28;5;5;false
142;2020-03-03T06:00:28;5;5;false
143;2020-03-04T06:00:28;5;5;false
144;2020-03-05T06:00:28;5;5;true
145;2020-03-06T06:00:28;5;5;false
146;2020-03-02T06:00:29;6;3;false
147;2020-03-03T06:00:29;6;3;true
148;2020-03-04T06:00:29;6;3;false
149;2020-03-05T06:00:29;6;3;false
150;2020-03-06T06:00:29;6;3;false
151;2020-03-02T06:00:30;6;4;true
152;2020-03-03T06:00:30;6;4;false
153;2020-03-04T06:00:30;6;4;false
154;2020-03-05T06:00:30;6;4;false
155;2020-03-06T06:00:30;6;4;false
156;2020-03-02T06:00:31;6;1;true
157;2020-03-03T06:00:31;6;1;false
158;2020-03-04T06:00:31;6;1;false
159;2020-03-05T06:00:31;6;1;false
160;2020-03-06T06:00:31;6;1;false
161;2020-03-02T06:00:32;6;10;false
162;2020-03-03T06:00:32;6;10;false
163;2020-03-04T06:00:32;6;10;false
164;2020-03-05T06:00:32;6;10;true
165;2020-03-06T06:00:32;6;10;false
166;2020-03-02T06:00:33;6;6;false
167;2020-03-03T06:00:33;6;6;true
168;2020-03-04T06:00:33;6;6;true
169;2020-03-05T06:00:33;6;6;true
170;2020-03-06T06:00:33;6;6;false
171;2020-03-02T06:00:34;6;5;true
172;2020-03-03T06:00:34;6;5;false
173;2020-03-04T06:00:34;6;5;false
174;2020-03-05T06:00:34;6;5;true
175;2020-03-06T06:00:34;6;5;false
176;2020-03-02T06:00:35;7;8;false
177;2020-03-03T06:00:35;7;8;true
178;2020-03-04T06:00:35;7;8;true
179;2020-03-05T06:00:35;7;8;false
180;2020-03-06T06:00:35;7;8;true
181;2020-03-02T06:00:36;8;10;true
182;2020-03-03T06:00:36;8;10;false
183;2020-03-04T06:00:36;8;10;true
184;2020-03-05T06:00:36;8;10;true
185;2020-03-06T06:00:36;8;10;false
186;2020-03-02T06:00:37;8;5;true
187;2020-03-03T06:00:37;8;5;true
188;2020-03-04T06:00:37;8;5;true
189;2020-03-05T06:00:37;8;5;false
190;2020-03-06T06:00:37;8;5;true
191;2020-03-02T06:00:38;8;7;true
192;2020-03-03T06:00:38;8;7;true
193;2020-03-04T06:00:38;8;7;true
194;2020-03-05T06:00:38;8;7;true
195;2020-03-06T06:00:38;8;7;false
196;2020-03-02T06:00:39;8;1;false
