id;creation_date;data;data_content_type
1;2020-03-09T09:08:16;../fake-data/blob/hipster.png;image/png
2;2020-03-08T22:16:48;../fake-data/blob/hipster.png;image/png
3;2020-03-09T14:47:55;../fake-data/blob/hipster.png;image/png
4;2020-03-09T04:16:18;../fake-data/blob/hipster.png;image/png
5;2020-03-09T12:18:00;../fake-data/blob/hipster.png;image/png
6;2020-03-09T00:08:00;../fake-data/blob/hipster.png;image/png
7;2020-03-09T15:03:32;../fake-data/blob/hipster.png;image/png
8;2020-03-09T09:32:40;../fake-data/blob/hipster.png;image/png
9;2020-03-09T09:03:40;../fake-data/blob/hipster.png;image/png
10;2020-03-09T11:23:02;../fake-data/blob/hipster.png;image/png
