id;creation_date;data;data_content_type
1;2020-03-23T00:50:38;../fake-data/blob/hipster.png;image/png
2;2020-03-23T02:09:58;../fake-data/blob/hipster.png;image/png
3;2020-03-23T16:44:23;../fake-data/blob/hipster.png;image/png
4;2020-03-23T09:36:31;../fake-data/blob/hipster.png;image/png
5;2020-03-22T21:37:51;../fake-data/blob/hipster.png;image/png
6;2020-03-23T06:22:57;../fake-data/blob/hipster.png;image/png
7;2020-03-22T19:31:57;../fake-data/blob/hipster.png;image/png
8;2020-03-23T16:11:19;../fake-data/blob/hipster.png;image/png
9;2020-03-23T03:42:32;../fake-data/blob/hipster.png;image/png
10;2020-03-23T18:00:37;../fake-data/blob/hipster.png;image/png
